1000MERCIS,1000mercis
ABC ARBITRAGE,abcarbitrage
ABN AMRO,abnamro
ABN AMRO BANK N.V,abnamrobanknv
ACANTHE DEVELOPPEMENT,acanthedeveloppement
ACCES INDUSTRIE,accesindustrie
ACCESS2NET,access2net
ACCOR,accor
ACTEOS,acteos
ACTIA GROUP,actiagroup
ADECCO,adecco
ADENCLASSIFIEDS,adenclassifieds
ADLPARTNER,adlpartner
ADOMOS,adomos
ADT S.I.I.C,adtsiic
ADVERLINE,adverline
AEDIAN,aedian
AEROPORTS DE PARIS,aeroportsdeparis
AES CHEMUNEX SA,aeschemunexsa
AFFINE,affine
AFFIPARIS,affiparis
AFONE,afone
AGENCE FRANCAISE DE DEVELOPPEMENT,agencefrancaisededeveloppement
AGF,agf
AGTA RECORD,agtarecord
AIR FRANCE-KLM,airfranceklm
AIR LIQUIDE,airliquide
AKKA TECHNOLOGIES,akkatechnologies
ALAIN AFFLELOU,alainafflelou
ALCAN,alcan
ALCATEL-LUCENT,alcatellucent
ALDETA,aldeta
ALES GROUPE,alesgroupe
ALLIANCE DEVELOPPEMENT CAPITAL S.I.I.C,alliancedeveloppementcapitalsiic
ALPHA MOS,alphamos
ALSTOM,alstom
ALTADIS,altadis
ALTAMIR AMBOISE,altamiramboise
ALTAREA COGEDIM,altareacogedim
ALTAREIT,altareit
ALTEN,alten
ALTI,alti
ALTRAN TECHNOLOGIES,altrantechnologies
ALTRIA GROUP,altriagroup
AMBOISE INVESTISSEMENT,amboiseinvestissement
AMERICOM GOVERNMENT SERVICES,americomgovernmentservices
ANF IMMOBILIER,anfimmobilier
ANHEUSER-BUSCH-INBEV SA/NV,anheuserbuschinbevsanv
ANOVO,anovo
ANTEVENIO,antevenio
APEM,apem
APRIL GROUP,aprilgroup
APS - AUTOLUBRIFICATION PRODUITS DE SYNTHESE,apsautolubrificationproduitsdesynthese
AQUILA,aquila
ARBEL,arbel
ARCELORMITTAL,arcelormittal
ARCHOS,archos
ARES,ares
AREVA,areva
ARGAN,argan
ARKEMA,arkema
ARKOPHARMA,arkopharma
ARTPRICE.COM,artpricecom
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,assistancepubliquehopitauxdeparis
ASSYA CAPITAL,assyacapital
ASSYSTEM,assystem
AST GROUPE,astgroupe
ATARI,atari
ATMEL,atmel
ATOS ORIGIN,atosorigin
AUBAY,aubay
AUDIKA,audika
AUFEMININ.COM,aufeminincom
AUREA,aurea
AURES TECHNOLOGIES,aurestechnologies
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,australiaandnewzealandbankinggrouplimited
AUSY,ausy
AUTO ESCAPE,autoescape
AUTOMA TECH,automatech
AUTOROUTES PARIS RHIN RHONE,autoroutesparisrhinrhone
AVANQUEST SOFTWARE SA,avanquestsoftwaresa
AVENIR FINANCE,avenirfinance
AVENIR TELECOM,avenirtelecom
AXA,axa
AXWAY SOFTWARE,axwaysoftware
BAC MAJESTIC,bacmajestic
BACCARAT,baccarat
BANQUE DE BRETAGNE,banquedebretagne
BANQUE DE LA REUNION,banquedelareunion
BANQUE FEDERATIVE DU CREDIT MUTUEL,banquefederativeducreditmutuel
BANQUE FERATIVE DU CREDIT MUTUEL,banqueferativeducreditmutuel
BANQUE PALATINE,banquepalatine
BANQUE POPULAIRE ATLANTIQUE,banquepopulaireatlantique
BANQUE POPULAIRE BOURGOGNE FRANCHE-COMTE,banquepopulairebourgognefranchecomte
BANQUE POPULAIRE CENTRE ATLANTIQUE,banquepopulairecentreatlantique
BANQUE POPULAIRE COTE D'AZUR,banquepopulairecotedazur
BANQUE POPULAIRE D'ALSACE,banquepopulairedalsace
BANQUE POPULAIRE DE L'OUEST,banquepopulairedelouest
BANQUE POPULAIRE DES ALPES,banquepopulairedesalpes
BANQUE POPULAIRE DU MASSIF CENTRAL,banquepopulairedumassifcentral
BANQUE POPULAIRE DU NORD,banquepopulairedunord
BANQUE POPULAIRE DU SUD,banquepopulairedusud
BANQUE POPULAIRE DU SUD-OUEST,banquepopulairedusudouest
